Trace monitoring started at 2025-04-24T22:04:03.339Z
[2025-04-24T22:04:03.387Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:04:50.590Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:05:03.418Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:05:50.604Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:06:03.420Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:06:50.573Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:07:03.406Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:07:50.599Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:08:03.410Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:08:50.589Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:09:03.412Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:09:50.578Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:10:03.418Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:10:50.578Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:11:03.417Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:11:50.574Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:12:03.410Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:12:50.586Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:13:03.413Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:13:50.579Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:14:03.424Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:14:50.583Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:15:03.410Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:15:50.582Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:16:03.412Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:16:50.571Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:17:03.406Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:17:50.578Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:18:03.424Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:18:50.579Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:19:03.412Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:19:50.591Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:20:03.411Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:20:50.584Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:21:03.403Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:21:50.663Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:22:03.429Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:22:50.607Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:23:03.416Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:23:50.875Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:24:03.685Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:24:50.860Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:25:03.688Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:25:50.862Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:26:03.740Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:26:50.857Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:27:03.691Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:27:50.871Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:28:03.690Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:28:50.857Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:29:03.698Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:29:50.856Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:30:03.679Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:30:50.876Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:31:03.675Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:31:50.852Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:32:03.680Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:32:50.868Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:33:03.693Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:33:50.864Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:34:03.691Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:34:50.886Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:35:03.694Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:35:50.860Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:36:03.685Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:36:50.872Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:37:03.681Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:38:03.692Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:38:50.802Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:39:03.622Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:39:50.802Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:40:03.633Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:40:50.812Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:41:03.645Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:41:50.792Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:42:03.626Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:42:50.807Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:43:03.647Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:43:50.816Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:44:03.647Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:44:50.814Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:45:03.628Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:45:50.834Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:46:03.633Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:46:50.825Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:47:03.632Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:47:50.847Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:48:03.622Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:48:50.807Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:49:03.609Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:49:50.807Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:50:03.630Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:50:50.817Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:51:03.610Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:51:50.796Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:52:03.606Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:52:50.806Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:53:03.619Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:53:50.938Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:54:03.766Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:54:50.976Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:55:03.750Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:55:50.963Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:56:03.755Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:56:50.952Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:57:03.764Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:57:50.972Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:58:03.765Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:58:50.978Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:59:03.766Z] Swaps captured: -1, Highest block: 0
[2025-04-24T22:59:50.979Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:00:03.776Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:00:50.977Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:01:03.775Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:01:50.969Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:02:03.786Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:02:50.995Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:03:03.784Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:03:50.991Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:04:03.791Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:04:51.020Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:05:03.790Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:05:51.001Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:06:03.816Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:06:50.991Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:07:03.807Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:07:51.015Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:08:03.804Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:08:50.991Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:09:03.777Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:09:50.980Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:10:03.773Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:10:51.006Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:11:03.790Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:11:50.968Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:12:03.794Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:12:50.985Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:13:03.797Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:13:51.006Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:14:03.786Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:14:51.011Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:15:03.786Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:15:50.999Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:16:03.787Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:16:51.043Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:17:03.808Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:17:51.013Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:18:03.787Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:18:51.006Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:19:03.792Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:19:51.019Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:20:03.795Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:20:51.024Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:21:03.793Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:21:51.008Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:22:03.794Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:22:51.030Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:23:03.797Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:23:51.012Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:24:03.896Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:24:51.010Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:25:03.809Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:25:51.019Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:26:03.805Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:26:51.028Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:27:03.832Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:27:51.022Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:28:03.842Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:28:51.031Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:29:03.812Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:29:51.019Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:30:03.825Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:30:51.025Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:31:03.815Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:31:51.026Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:32:03.817Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:32:51.033Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:33:03.835Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:33:51.036Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:34:03.834Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:34:51.040Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:35:03.843Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:35:51.044Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:36:03.842Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:36:51.036Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:37:03.866Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:37:51.046Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:38:03.843Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:38:51.071Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:39:03.882Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:39:51.078Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:40:03.875Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:40:51.075Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:41:03.894Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:41:51.073Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:42:03.882Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:42:51.080Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:43:03.876Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:43:51.079Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:44:03.883Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:44:51.092Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:45:03.914Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:45:51.099Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:46:03.894Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:46:51.082Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:47:03.903Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:47:51.085Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:48:03.904Z] Swaps captured: -1, Highest block: 0
[2025-04-24T23:48:51.102Z] Swaps captured: -1, Highest block: 0
